A,Agilent Technologies Inc.,Capital Goods,Electrical Products
AA,Alcoa Corporation ,Basic Industries,Metal Fabrications
AAC,Ares Acquisition Corporation,Finance,Business Services
AACG,ATA Creativity Global American,Miscellaneous,Service to the Health Industry
AAIC,Arlington Asset Investment Corp (new),Finance,Finance/Investors Services
AAIC^B,Arlington Asset Investment ,,
AAIC^C,Arlington Asset Investment ,,
AAL,American Airlines Group Inc.,Transportation,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,Finance,Investment Managers
AAME,Atlantic American Corporation,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. ,Miscellaneous,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc.,Technology,Semiconductors
AAON,AAON Inc.,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,Consumer Services,Other Specialty Stores
AAPL,Apple Inc.,Technology,Computer Manufacturing
AAQC,Accelerate Acquisition Corp.,,
AAT,American Assets Trust Inc.,Consumer Services,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd.,Basic Industries,Precious Metals
AAWW,Atlas Air Worldwide Holdings NEW,Transportation,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,Finance,Investment Managers
ABB,ABB Ltd,Consumer Durables,Electrical Products
ABBV,AbbVie Inc.,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp,Finance,Major Banks
ABCL,AbCellera Biologics Inc.,,
ABCM,Abcam plc American,Health Care,Biotechnology
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals
ABEV,Ambev S.A. American (Each representing 1 Common Share),Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc,Consumer Services,Other Specialty Stores
ABGI,ABG Acquisition Corp. I,Finance,Business Services
ABIO,ARCA biopharma Inc.,Health Care,Biotechnology
ABM,ABM Industries Incorporated,Technology,Diversified Commercial Services
ABMD,ABIOMED Inc.,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc.,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc.,,
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust ,,
ABST,Absolute Software Corporation,,
ABT,Abbott Laboratories,Health Care,Medical/Dental Instruments
ABTX,Allegiance Bancshares Inc.,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation,,
AC,Associated Capital Group Inc.,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. ,Capital Goods,Industrial Machinery/Components
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ACAH,Atlantic Coastal Acquisition Corp.,,
ACAHU,Atlantic Coastal Acquisition Corp. Unit,,
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,,
ACB,Aurora Cannabis Inc.,Consumer Durables,Specialty Chemicals
ACBA,Ace Global Business Acquisition Limited,Miscellaneous,Business Services
ACBAU,Ace Global Business Acquisition Limited Unit,Miscellaneous,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,Miscellaneous,Business Services
ACBI,Atlantic Capital Bancshares Inc.,Finance,Major Banks
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts
ACCD,Accolade Inc.,,
ACCO,Acco Brands Corporation,Consumer Services,Advertising
ACEL,Accel Entertainment Inc. ,Consumer Services,Recreational Products/Toys
ACER,Acer Therapeutics Inc. (DE),Health Care,Biotechnology
ACET,Adicet Bio Inc. ,Health Care,Major Pharmaceuticals
ACEV,ACE Convergence Acquisition Corp.,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,Technology,Semiconductors
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd. Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Finance,Property-Casualty Insurers
ACH,Aluminum Corporation of China Limited American,Basic Industries,Aluminum
ACHC,Acadia Healthcare Company Inc.,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHV,Achieve Life Sciences Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc.,Consumer Services,Food Chains
ACIC,Atlas Crest Investment Corp.,,
ACII,Atlas Crest Investment Corp. II,,
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals
ACIW,ACI Worldwide Inc.,Technology,Computer Software: Prepackaged Software
ACKIT,Ackrell SPAC Partners I Co. Subunits,,
ACKIU,Ackrell SPAC Partners I Co. Units,,
ACKIW,Ackrell SPAC Partners I Co. Warrants,Finance,Business Services
ACLS,Axcelis Technologies Inc.,Technology,Industrial Machinery/Components
ACM,AECOM,Consumer Services,Military/Government/Technical
ACMR,ACM Research Inc.,Technology,Industrial Machinery/Components
ACN,Accenture plc (Ireland),Miscellaneous,Business Services
ACNB,ACNB Corporation,Finance,Major Banks
ACND,Ascendant Digital Acquisition Corp.,Technology,Computer Software: Prepackaged Software
ACOR,Acorda Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,Aberdeen Income Credit Strategies Fund,Finance,Investment Managers
ACP^A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,,
ACQR,Independence Holdings Corp.,Finance,Business Services
ACQRU,Independence Holdings Corp. Units,Finance,Business Services
ACQRW,Independence Holdings Corp. Warrant,Finance,Business Services
ACR,ACRES Commercial Realty Corp.,Consumer Services,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,,
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc.,Health Care,Major Pharmaceuticals
ACRX,AcelRx Pharmaceuticals Inc.,Consumer Durables,Specialty Chemicals
ACST,Acasti Pharma Inc.,,
ACTD,ArcLight Clean Transition Corp. II,,
ACTDU,ArcLight Clean Transition Corp. II Unit,,
ACTDW,ArcLight Clean Transition Corp. II Warrant,Finance,Business Services
ACTG,Acacia Research Corporation (Acacia Tech),Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation.,Consumer Durables,Home Furnishings
ACV,Virtus AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc.,Technology,EDP Services
ACXP,Acurx Pharmaceuticals Inc.,,
ACY,AeroCentury Corp.,Technology,Diversified Commercial Services
ADAG,Adagene Inc. American,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc American,Health Care,Major Pharmaceuticals
ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts
ADCT,ADC Therapeutics SA,Health Care,Major Pharmaceuticals
ADER,26 Capital Acquisition Corp.,,
ADERU,26 Capital Acquisition Corp. Unit,,
ADERW,26 Capital Acquisition Corp. Warrant,Finance,Business Services
ADES,Advanced Emissions Solutions Inc.,Basic Industries,Industrial Specialties
ADEX,Adit EdTech Acquisition Corp.,,
ADF,Aldel Financial Inc.,,
ADI,Analog Devices Inc.,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
ADILW,Adial Pharmaceuticals Inc Warrant,Health Care,Major Pharmaceuticals
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Farming/Seeds/Milling
